Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
3/15/2018,7:45,EUR,L,French Final CPI m/m,0.00%,-0.10%,-0.10%,
3/15/2018,8:15,CHF,M,PPI m/m,0.30%,0.20%,0.30%,
3/15/2018,8:30,CHF,H,Libor Rate,-0.75%,-0.75%,-0.75%,
3/15/2018,8:30,CHF,H,SNB Monetary Policy Assessment,,,,
3/15/2018,9:48,EUR,L,Spanish 10-y Bond Auction,1.36|1.3,,1.50|2.0,
3/15/2018,10:35,GBP,L,10-y Bond Auction,1.58|2.6,,1.29|2.4,
3/15/2018,12:30,CAD,L,ADP Non-Farm Employment Change,32.7K,,-2.3K,
3/15/2018,12:30,USD,M,Empire State Manufacturing Index,22.5,14.9,13.1,
3/15/2018,12:30,USD,M,Philly Fed Manufacturing Index,22.3,23.1,25.8,
3/15/2018,12:30,USD,M,Unemployment Claims,226K,227K,230K,
3/15/2018,12:30,USD,L,Import Prices m/m,0.40%,0.30%,0.80%,
3/15/2018,14:00,USD,L,NAHB Housing Market Index,70,72,71,
3/15/2018,14:30,USD,L,Natural Gas Storage,-93B,-99B,-57B,
3/15/2018,20:00,USD,L,TIC Long-Term Purchases,62.1B,35.9B,23.3B,
3/15/2018,21:30,NZD,M,BusinessNZ Manufacturing Index,53.4,,54.4,
3/15/2018,22:45,AUD,M,RBA Deputy Gov Debelle Speaks,,,,
3/16/2018,4:30,JPY,L,Revised Industrial Production m/m,-6.80%,-6.60%,-6.60%,
3/16/2018,7:00,EUR,L,German WPI m/m,-0.30%,0.20%,0.90%,
3/16/2018,9:30,GBP,L,FPC Statement,,,,
3/16/2018,10:00,EUR,M,Final CPI y/y,1.10%,1.20%,1.20%,
3/16/2018,10:00,EUR,L,Final Core CPI y/y,1.00%,1.00%,1.00%,
3/16/2018,12:30,CAD,M,Foreign Securities Purchases,5.68B,9.11B,-1.54B,
3/16/2018,12:30,CAD,M,Manufacturing Sales m/m,-1.00%,-0.80%,-0.10%,
3/16/2018,12:30,USD,H,Building Permits,1.30M,1.32M,1.38M,
3/16/2018,12:30,USD,M,Housing Starts,1.24M,1.29M,1.33M,
3/16/2018,13:15,USD,M,Capacity Utilization Rate,78.10%,77.70%,77.40%,
3/16/2018,13:15,USD,M,Industrial Production m/m,1.10%,0.30%,-0.30%,
3/16/2018,13:30,GBP,L,CB Leading Index m/m,0.00%,,-0.20%,
3/16/2018,14:00,USD,M,Prelim UoM Consumer Sentiment,102,99.2,99.7,
3/16/2018,14:00,USD,L,JOLTS Job Openings,6.31M,5.91M,5.81M,
3/16/2018,14:00,USD,L,Prelim UoM Inflation Expectations,2.90%,,2.70%,
3/18/2018,21:30,NZD,L,BusinessNZ Services Index,55,,55.7,
3/18/2018,23:50,JPY,L,BOJ Summary of Opinions,,,,
3/18/2018,23:50,JPY,L,Trade Balance,-0.20T,-0.10T,0.35T,
3/19/2018,0:01,GBP,L,Rightmove HPI m/m,1.50%,,0.80%,
3/19/2018,0:01,All,H,G20 Meetings,,,,
3/19/2018,9:00,EUR,L,Italian Industrial Production m/m,-1.90%,-0.50%,2.10%,
3/19/2018,10:00,EUR,L,Italian Trade Balance,-0.09B,4.87B,5.25B,
3/19/2018,10:00,EUR,L,Trade Balance,19.9B,22.6B,23.2B,
3/19/2018,11:00,EUR,L,German Buba Monthly Report,,,,
3/19/2018,13:40,USD,L,FOMC Member Bostic Speaks,,,,
3/19/2018,14:30,AUD,L,CB Leading Index m/m,-0.10%,,-0.30%,
3/19/2018,21:00,NZD,L,Westpac Consumer Sentiment,111.2,,107.4,
3/20/2018,0:01,All,H,G20 Meetings,,,,
3/20/2018,0:30,AUD,H,Monetary Policy Meeting Minutes,,,,
3/20/2018,0:30,AUD,M,HPI q/q,1.00%,0.10%,-0.20%,
3/20/2018,4:15,AUD,M,RBA Deputy Gov Bullock Speaks,,,,
3/20/2018,6:45,CHF,L,SECO Economic Forecasts,,,,
3/20/2018,7:00,CHF,L,Trade Balance,3.14B,1.87B,2.07B,
3/20/2018,7:00,EUR,L,German PPI m/m,-0.10%,0.10%,0.50%,
3/20/2018,9:30,GBP,H,CPI y/y,2.70%,2.80%,3.00%,
3/20/2018,9:30,GBP,M,PPI Input m/m,-1.10%,-0.90%,0.40%,
3/20/2018,9:30,GBP,L,Core CPI y/y,2.40%,2.50%,2.70%,
3/20/2018,9:30,GBP,L,HPI y/y,4.90%,5.10%,5.00%,
3/20/2018,9:30,GBP,L,PPI Output m/m,0.00%,0.10%,0.10%,
3/20/2018,9:30,GBP,L,RPI y/y,3.60%,3.70%,4.00%,
3/20/2018,10:00,EUR,M,German ZEW Economic Sentiment,5.1,13.1,17.8,
3/20/2018,10:00,EUR,L,ZEW Economic Sentiment,13.4,28.1,29.3,
3/20/2018,12:30,CAD,L,Wholesale Sales m/m,0.10%,0.10%,-0.20%,
3/20/2018,14:14,NZD,M,GDT Price Index,-1.20%,,-0.60%,
3/20/2018,15:00,EUR,L,Consumer Confidence,0,0,0,
3/20/2018,21:49,NZD,L,Visitor Arrivals m/m,2.00%,,0.10%,
3/20/2018,23:30,AUD,L,MI Leading Index m/m,0.30%,,-0.30%,
3/21/2018,0:01,JPY,N,Bank Holiday,,,,
3/21/2018,0:01,All,M,OPEC-JMMC Meetings,,,,
3/21/2018,2:00,NZD,L,Credit Card Spending y/y,7.00%,,4.60%,
3/21/2018,9:30,GBP,H,Average Earnings Index 3m/y,2.80%,2.60%,2.70%,
3/21/2018,9:30,GBP,M,Claimant Count Change,9.2K,-3.1K,-1.6K,
3/21/2018,9:30,GBP,M,Public Sector Net Borrowing,-0.3B,-0.4B,-11.7B,
3/21/2018,9:30,GBP,M,Unemployment Rate,4.30%,4.40%,4.40%,
3/21/2018,10:34,EUR,L,German 10-y Bond Auction,0.60|1.3,,0.67|1.2,
3/21/2018,11:00,GBP,L,CBI Industrial Order Expectations,4,9,10,
3/21/2018,12:30,USD,M,Current Account,-128B,-125B,-101B,
3/21/2018,14:00,CHF,L,SNB Quarterly Bulletin,,,,
3/21/2018,14:00,USD,M,Existing Home Sales,5.54M,5.41M,5.38M,
3/21/2018,14:30,USD,H,Crude Oil Inventories,-2.6M,2.6M,5.0M,
3/21/2018,18:00,USD,H,FOMC Economic Projections,,,,
3/21/2018,18:00,USD,H,FOMC Statement,,,,
3/21/2018,18:00,USD,H,Federal Funds Rate,1.75%,1.75%,1.50%,
3/21/2018,18:30,USD,H,FOMC Press Conference,,,,
3/21/2018,20:00,NZD,H,RBNZ Rate Statement,,,,
3/21/2018,20:00,NZD,M,Official Cash Rate,1.75%,1.75%,1.75%,
3/22/2018,0:30,AUD,H,Employment Change,17.5K,19.8K,12.5K,
3/22/2018,0:30,AUD,H,Unemployment Rate,5.60%,5.50%,5.50%,
