Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
6/29/2022,0:50,JPY,L,Retail Sales y/y,3.60%,4.00%,3.10%,
6/29/2022,2:30,AUD,L,Retail Sales m/m,0.90%,0.30%,0.90%,
6/29/2022,6:00,JPY,L,Consumer Confidence,32.1,34.6,34.1,
6/29/2022,8:00,EUR,L,Spanish Flash CPI y/y,10.20%,8.80%,8.70%,
6/29/2022,9:00,CHF,L,Credit Suisse Economic Expectations,-72.7,,-52.6,
6/29/2022,9:00,EUR,L,M3 Money Supply y/y,5.60%,5.80%,6.10%,
6/29/2022,9:00,EUR,L,Private Loans y/y,4.60%,4.50%,4.60%,
6/29/2022,11:15,USD,M,FOMC Member Mester Speaks,,,,
6/29/2022,13:30,USD,M,Final GDP q/q,-1.60%,-1.50%,-1.50%,
6/29/2022,13:30,USD,L,Final GDP Price Index q/q,8.20%,8.10%,8.10%,
6/29/2022,14:00,EUR,H,ECB President Lagarde Speaks,,,,
6/29/2022,14:00,GBP,H,BOE Gov Bailey Speaks,,,,
6/29/2022,14:00,USD,H,Fed Chair Powell Speaks,,,,
6/29/2022,16:00,EUR,L,ECB President Lagarde Speaks,,,,
6/29/2022,18:05,USD,L,FOMC Member Bullard Speaks,,,,
6/30/2022,0:01,All,H,OPEC-JMMC Meetings,,,,
6/30/2022,0:50,JPY,L,Prelim Industrial Production m/m,-7.20%,-0.20%,-1.50%,
6/30/2022,2:00,NZD,L,ANZ Business Confidence,-62.6,,-55.6,
6/30/2022,2:30,AUD,L,Private Sector Credit m/m,0.80%,0.60%,0.90%,
6/30/2022,2:30,CNY,M,Manufacturing PMI,50.2,50.6,49.6,
6/30/2022,2:32,CNY,L,Non-Manufacturing PMI,54.7,50.4,47.8,
6/30/2022,5:59,JPY,L,Housing Starts y/y,-4.30%,1.70%,2.20%,
6/30/2022,7:00,EUR,L,German Import Prices m/m,0.90%,1.60%,1.80%,
6/30/2022,7:00,EUR,L,German Retail Sales m/m,0.60%,1.10%,-5.40%,
6/30/2022,7:00,GBP,L,Current Account,-51.7B,-39.7B,-7.3B,
6/30/2022,7:00,GBP,L,Final GDP q/q,0.80%,0.80%,0.80%,
6/30/2022,7:00,GBP,L,Nationwide HPI m/m,0.30%,0.50%,0.90%,
6/30/2022,7:00,GBP,L,Revised Business Investment q/q,-0.60%,-0.50%,-0.50%,
