Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
5/5/2009,9:30,GBP,M,Construction PMI,38.1,31.9,30.9,
5/5/2009,10:00,EUR,L,PPI m/m,-0.70%,-0.50%,-0.40%,
5/5/2009,15:00,USD,H,Fed Chairman Bernanke Testifies,,,,
5/5/2009,15:00,USD,H,ISM Services PMI,43.7,42.5,40.8,
5/6/2009,0:01,GBP,M,Nationwide Consumer Confidence,50,43,42,
5/6/2009,0:01,JPY,N,Bank Holiday,,,,
5/6/2009,0:03,GBP,L,BRC Shop Price Index y/y,1.40%,,2.00%,
5/6/2009,2:30,AUD,H,Retail Sales m/m,2.20%,0.50%,-2.00%,
5/6/2009,2:30,AUD,H,Trade Balance,2.50B,1.73B,1.75B,
5/6/2009,3:30,USD,M,FOMC Member Yellen Speaks,,,,
5/6/2009,4:00,NZD,H,Labor Cost Index q/q,0.50%,0.60%,0.70%,
5/6/2009,8:00,CHF,M,Gov Board Member Jordan Speaks,,,,
5/6/2009,8:00,CHF,L,Foreign Currency Reserves,56B,,56B,
5/6/2009,8:15,EUR,L,Spanish Services PMI,42.3,,34.1,
5/6/2009,8:45,EUR,L,Italian Services PMI,42,40.9,39.1,
5/6/2009,8:50,EUR,L,French Final Services PMI,46.5,46.2,46.2,
5/6/2009,8:55,EUR,L,German Final Services PMI,43.8,43.5,43.5,
5/6/2009,9:00,EUR,L,Final Services PMI,43.8,43.1,43.1,
5/6/2009,9:00,GBP,H,Halifax HPI m/m,-1.70%,-1.00%,-1.90%,
5/6/2009,9:30,GBP,H,Final Services PMI,48.7,46.2,45.5,
5/6/2009,10:00,EUR,M,Retail Sales m/m,-0.60%,0.10%,-0.30%,
5/6/2009,10:42,GBP,L,10-y Bond Auction,3.58|2.5,,3.46|1.8,
5/6/2009,12:30,USD,L,Challenger Job Cuts y/y,47.00%,,180.70%,
5/6/2009,13:15,USD,H,ADP Non-Farm Employment Change,-491K,-644K,-708K,
5/6/2009,13:30,CAD,H,Building Permits m/m,23.50%,2.40%,-15.80%,
5/6/2009,15:00,CAD,H,Ivey PMI,53.7,41,43.2,
5/6/2009,15:30,USD,M,Crude Oil Inventories,0.6M,2.4M,4.1M,
5/6/2009,17:15,CHF,H,SNB Chairman Roth Speaks,,,,
5/6/2009,18:00,USD,M,10-y Bond Auction,3.19|2.5,,2.95|2.5,
5/6/2009,21:00,CAD,H,BOC Gov Carney Speaks,,,,
5/6/2009,22:30,USD,M,FOMC Member Yellen Speaks,,,,
5/6/2009,23:45,NZD,H,Employment Change q/q,-1.10%,-1.00%,0.60%,
5/6/2009,23:45,NZD,H,Unemployment Rate,5.00%,5.30%,4.70%,
5/7/2009,0:30,AUD,L,AIG Construction Index,36.5,,30.4,
5/7/2009,0:50,JPY,L,Monetary Base y/y,8.20%,6.70%,6.90%,
5/7/2009,2:30,AUD,H,Employment Change,27.3K,-24.9K,-37.2K,
5/7/2009,2:30,AUD,H,Unemployment Rate,5.40%,5.90%,5.70%,
5/7/2009,7:45,EUR,L,French Trade Balance,-4.9B,-3.9B,-4.1B,
5/7/2009,8:15,CHF,H,CPI m/m,0.90%,0.60%,-0.30%,
5/7/2009,10:06,EUR,L,French 10-y Bond Auction,3.67|1.6,,3.62|1.9,
5/7/2009,11:00,EUR,M,German Factory Orders m/m,3.30%,-0.80%,-3.10%,
5/7/2009,12:00,GBP,H,Asset Purchase Facility,125B,150B,75B,
5/7/2009,12:00,GBP,H,MPC Rate Statement,,,,
5/7/2009,12:00,GBP,H,Official Bank Rate,0.50%,0.50%,0.50%,
5/7/2009,12:45,EUR,H,Main Refinancing Rate,1.00%,1.00%,1.25%,
5/7/2009,13:30,EUR,H,ECB Press Conference,,,,
5/7/2009,13:30,USD,H,Unemployment Claims,601K,639K,635K,
5/7/2009,13:30,USD,M,Prelim Nonfarm Productivity q/q,0.80%,0.80%,-0.40%,
5/7/2009,13:30,USD,M,Prelim Unit Labor Costs q/q,3.30%,2.60%,5.70%,
5/7/2009,14:15,USD,M,FOMC Member Evans Speaks,,,,
5/7/2009,14:30,USD,H,Fed Chairman Bernanke Speaks,,,,
5/7/2009,15:30,USD,L,Natural Gas Storage,95B,94B,82B,
5/7/2009,18:00,USD,L,30-y Bond Auction,4.29|2.1,,3.64|2.4,
5/7/2009,20:00,USD,L,Consumer Credit m/m,-11.1B,-4.2B,-8.1B,
5/7/2009,21:15,USD,H,Fed Chairman Bernanke Speaks,,,,
5/7/2009,22:00,USD,H,Bank Stress Test Results,,,,
5/8/2009,0:01,EUR,N,French Bank Holiday,,,,
5/8/2009,0:50,JPY,M,Monetary Policy Meeting Minutes,,,,
5/8/2009,2:30,AUD,H,RBA Monetary Policy Statement,,,,
5/8/2009,6:45,CHF,L,Unemployment Rate,3.40%,3.40%,3.30%,
5/8/2009,7:00,EUR,L,German Trade Balance,8.9B,7.7B,8.9B,
5/8/2009,9:30,GBP,H,PPI Input m/m,-1.00%,0.70%,1.30%,
5/8/2009,9:30,GBP,L,PPI Output m/m,0.60%,0.20%,0.10%,
5/8/2009,11:00,EUR,M,German Industrial Production m/m,0.00%,-1.30%,-3.40%,
5/8/2009,12:00,CAD,H,Employment Change,35.9K,-48.5K,-61.3K,
5/8/2009,12:00,CAD,H,Unemployment Rate,8.00%,8.30%,8.00%,
