Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
10/15/2013,10:00,EUR,H,German ZEW Economic Sentiment,52.8,49.2,49.6,
10/15/2013,10:00,EUR,M,ZEW Economic Sentiment,59.1,59.4,58.6,
10/15/2013,10:00,GBP,M,MPC Member Weale Speaks,,,,
10/15/2013,13:30,USD,M,Empire State Manufacturing Index,1.5,8.2,6.3,
10/15/2013,14:30,NZD,L,GDT Price Index,-1.90%,,2.40%,
10/15/2013,15:00,USD,M,FOMC Member Dudley Speaks,,,,
10/15/2013,22:45,NZD,H,CPI q/q,0.90%,0.80%,0.20%,
10/16/2013,0:30,AUD,L,MI Leading Index m/m,-0.10%,,0.40%,
10/16/2013,9:00,EUR,L,Italian Trade Balance,0.96B,5.21B,5.98B,
10/16/2013,9:30,GBP,H,Claimant Count Change,-41.7K,-24.3K,-41.6K,
10/16/2013,9:30,GBP,H,Unemployment Rate,7.70%,7.70%,7.70%,
10/16/2013,9:30,GBP,M,Average Earnings Index 3m/y,0.70%,1.00%,1.20%,
10/16/2013,10:00,CHF,M,Credit Suisse Economic Expectations,24.9,,16.3,
10/16/2013,10:00,EUR,M,Final CPI y/y,1.10%,1.10%,1.10%,
10/16/2013,10:00,EUR,L,Final Core CPI y/y,1.00%,1.00%,1.00%,
10/16/2013,10:00,EUR,L,Trade Balance,12.3B,12.4B,11.0B,
10/16/2013,10:00,GBP,M,MPC Member Dale Speaks,,,,
10/16/2013,13:30,CAD,H,Manufacturing Sales m/m,-0.20%,0.30%,1.70%,
10/16/2013,15:00,USD,M,NAHB Housing Market Index,55,58,57,
10/16/2013,19:00,EUR,H,ECB President Draghi Speaks,,,,
10/16/2013,19:00,USD,M,Beige Book,,,,
10/16/2013,22:30,USD,M,FOMC Member George Speaks,,,,
10/17/2013,1:30,AUD,M,NAB Quarterly Business Confidence,3,,-1,
10/17/2013,3:00,CNY,L,Foreign Direct Investment ytd/y,6.20%,,6.40%,
10/17/2013,9:00,EUR,M,Current Account,17.4B,17.7B,15.5B,
10/17/2013,9:30,GBP,H,Retail Sales m/m,0.60%,0.50%,-0.80%,
10/17/2013,13:30,CAD,M,Foreign Securities Purchases,2.08B,7.21B,6.12B,
10/17/2013,13:30,USD,H,Unemployment Claims,358K,357K,373K,
10/17/2013,15:00,USD,H,Philly Fed Manufacturing Index,19.8,15.4,22.3,
10/17/2013,17:45,USD,M,FOMC Member Evans Speaks,,,,
10/17/2013,17:45,USD,M,FOMC Member George Speaks,,,,
10/18/2013,2:00,AUD,H,RBA Gov Stevens Speaks,,,,
10/18/2013,3:00,CNY,H,GDP q/y,7.80%,7.80%,7.50%,
10/18/2013,3:00,CNY,M,Fixed Asset Investment ytd/y,20.20%,20.40%,20.30%,
10/18/2013,3:00,CNY,M,Industrial Production y/y,10.20%,10.10%,10.40%,
10/18/2013,3:00,CNY,M,NBS Press Conference,,,,
10/18/2013,3:00,CNY,L,Retail Sales y/y,13.30%,13.60%,13.40%,
10/18/2013,7:35,JPY,H,BOJ Gov Kuroda Speaks,,,,
10/18/2013,13:30,CAD,H,Core CPI m/m,0.20%,0.20%,0.20%,
10/18/2013,13:30,CAD,M,CPI m/m,0.20%,0.10%,0.00%,
10/18/2013,17:30,USD,L,FOMC Member Tarullo Speaks,,,,
10/18/2013,19:00,USD,M,FOMC Member Evans Speaks,,,,
10/18/2013,20:40,USD,M,FOMC Member Dudley Speaks,,,,
10/18/2013,21:30,USD,M,FOMC Member Stein Speaks,,,,
10/20/2013,22:47,NZD,L,Visitor Arrivals m/m,-1.00%,,0.00%,
10/21/2013,0:01,GBP,L,Rightmove HPI m/m,2.80%,,-1.50%,
10/21/2013,0:50,JPY,M,Trade Balance,-1.09T,-1.06T,-0.82T,
10/21/2013,3:00,NZD,L,Credit Card Spending y/y,5.20%,,6.60%,
10/21/2013,5:30,JPY,L,All Industries Activity m/m,0.30%,0.30%,0.40%,
10/21/2013,7:00,EUR,M,German PPI m/m,0.30%,0.10%,-0.10%,
10/21/2013,11:00,EUR,M,German Buba Monthly Report,,,,
10/21/2013,13:00,USD,M,FOMC Member Evans Speaks,,,,
10/21/2013,13:30,CAD,M,Wholesale Sales m/m,0.50%,0.60%,1.70%,
10/21/2013,15:00,USD,H,Existing Home Sales,5.29M,5.31M,5.39M,
10/21/2013,15:30,USD,M,Crude Oil Inventories,4.0M,3.4M,6.8M,
10/22/2013,3:00,CNY,L,CB Leading Index m/m,0.90%,,0.80%,
10/22/2013,7:00,CHF,L,Trade Balance,2.49B,2.32B,1.86B,
10/22/2013,9:00,GBP,M,MPC Member Bean Speaks,,,,
10/22/2013,9:30,GBP,M,Public Sector Net Borrowing,9.4B,10.4B,10.8B,
10/22/2013,13:30,CAD,H,Core Retail Sales m/m,0.40%,0.20%,0.80%,
10/22/2013,13:30,CAD,M,Retail Sales m/m,0.20%,0.30%,0.50%,
10/22/2013,13:30,USD,H,Non-Farm Employment Change,148K,182K,193K,
10/22/2013,13:30,USD,H,Unemployment Rate,7.20%,7.30%,7.30%,
10/22/2013,13:30,USD,M,Average Hourly Earnings m/m,0.10%,0.20%,0.30%,
10/22/2013,14:00,USD,M,TIC Long-Term Purchases,-8.9B,30.9B,31.0B,
10/22/2013,14:59,USD,L,Richmond Manufacturing Index,1,0,0,
10/22/2013,15:00,USD,L,Construction Spending m/m,0.60%,0.50%,1.40%,
10/22/2013,15:30,USD,L,Natural Gas Storage,77B,81B,90B,
10/23/2013,0:00,AUD,M,CB Leading Index m/m,-0.20%,,0.30%,
10/23/2013,1:30,AUD,H,CPI q/q,1.20%,0.80%,0.40%,
10/23/2013,1:30,AUD,M,Trimmed Mean CPI q/q,0.70%,0.70%,0.60%,
10/23/2013,9:30,GBP,H,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9,
10/23/2013,9:30,GBP,H,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-0-9,
10/23/2013,9:30,GBP,L,High Street Lending,43.0K,39.4K,38.8K,
10/23/2013,10:33,EUR,L,German 30-y Bond Auction,2.64|1.4,,2.47|1.6,
10/23/2013,13:30,USD,M,Import Prices m/m,0.20%,0.30%,0.20%,
10/23/2013,14:00,EUR,M,Belgian NBB Business Climate,-7.7,-4.1,-6.7,
10/23/2013,14:00,USD,L,HPI m/m,0.30%,0.80%,0.80%,
10/23/2013,15:00,CAD,H,BOC Monetary Policy Report,,,,
10/23/2013,15:00,CAD,H,BOC Rate Statement,,,,
10/23/2013,15:00,CAD,H,Overnight Rate,1.00%,1.00%,1.00%,
10/23/2013,15:00,EUR,L,Consumer Confidence,-15,-14,-15,
10/23/2013,15:30,USD,M,Crude Oil Inventories,5.2M,2.7M,4.0M,
10/23/2013,16:15,CAD,H,BOC Press Conference,,,,
10/23/2013,22:45,NZD,H,Trade Balance,-199M,-730M,-1234M,
10/24/2013,0:01,EUR,M,EU Economic Summit,,,,
