Date,Time,Currency,Impact,Event,Actual,Forecast,Previous,Outcome
5/11/2020,8:33,CNY,L,M2 Money Supply y/y,11.10%,10.30%,10.10%,
5/11/2020,9:00,EUR,L,Italian Industrial Production m/m,-28.40%,-20.00%,-1.00%,
5/12/2020,2:30,AUD,M,NAB Business Confidence,-46,,-65,
5/12/2020,2:30,CNY,L,CPI y/y,3.30%,3.70%,4.30%,
5/12/2020,2:30,CNY,L,PPI y/y,-3.10%,-2.60%,-1.50%,
5/12/2020,4:35,JPY,L,10-y Bond Auction,0.00|4.1,,0.02|4.2,
5/12/2020,6:00,JPY,L,Leading Indicators,83.80%,84.30%,91.70%,
5/12/2020,11:00,USD,L,NFIB Small Business Index,90.9,86.7,96.4,
5/12/2020,13:30,USD,H,CPI m/m,-0.80%,-0.70%,-0.40%,
5/12/2020,13:30,USD,H,CPI y/y,0.30%,0.40%,1.50%,
5/12/2020,13:30,USD,H,Core CPI m/m,-0.40%,-0.20%,-0.10%,
5/12/2020,15:00,USD,L,FOMC Member Harker Speaks,,,,
5/12/2020,15:00,USD,L,FOMC Member Quarles Speaks,,,,
5/12/2020,15:00,USD,L,Mortgage Delinquencies,4.36%,,3.77%,
5/12/2020,18:01,USD,L,10-y Bond Auction,0.70|2.7,,0.78|2.4,
5/12/2020,19:00,USD,L,Federal Budget Balance,-737.9B,-729.7B,-119.1B,
5/12/2020,22:00,USD,L,FOMC Member Mester Speaks,,,,
5/13/2020,0:01,GBP,L,BRC Retail Sales Monitor y/y,5.70%,-15.00%,-3.50%,
5/13/2020,0:50,JPY,L,Bank Lending y/y,3.00%,2.00%,2.00%,
5/13/2020,0:50,JPY,L,Current Account,0.94T,1.29T,2.35T,
5/13/2020,1:30,AUD,L,Westpac Consumer Sentiment,16.40%,,-17.70%,
5/13/2020,2:30,AUD,M,Wage Price Index q/q,0.50%,0.50%,0.50%,
5/13/2020,3:00,NZD,H,Official Cash Rate,0.25%,0.25%,0.25%,
5/13/2020,3:00,NZD,H,RBNZ Monetary Policy Statement,,,,
5/13/2020,3:00,NZD,H,RBNZ Rate Statement,,,,
5/13/2020,4:00,NZD,H,RBNZ Press Conference,,,,
5/13/2020,6:02,JPY,L,Economy Watchers Sentiment,7.9,10.1,14.2,
5/13/2020,7:00,GBP,H,Prelim GDP q/q,-2.00%,-2.60%,0.00%,
5/13/2020,7:00,GBP,M,GDP m/m,-5.80%,-7.90%,-0.20%,
5/13/2020,7:00,GBP,L,Construction Output m/m,-5.90%,-7.10%,-2.10%,
5/13/2020,7:00,GBP,L,Index of Services 3m/3m,-1.90%,-2.50%,0.20%,
5/13/2020,7:02,GBP,M,Manufacturing Production m/m,-4.60%,-6.00%,0.30%,
5/13/2020,7:02,GBP,L,Goods Trade Balance,-12.5B,-10.0B,-9.8B,
5/13/2020,7:02,GBP,L,Industrial Production m/m,-4.20%,-5.50%,-0.10%,
5/13/2020,7:02,GBP,L,Prelim Business Investment q/q,0.00%,-3.00%,-0.50%,
5/13/2020,10:00,EUR,L,Industrial Production m/m,-11.30%,-12.30%,-0.10%,
5/13/2020,10:35,EUR,L,German 30-y Bond Auction,-0.13|2.5,,-0.09|1.9,
5/13/2020,13:30,USD,M,Core PPI m/m,-0.30%,-0.10%,0.20%,
5/13/2020,13:30,USD,M,PPI m/m,-1.30%,-0.50%,-0.20%,
5/13/2020,14:00,USD,H,Fed Chair Powell Speaks,,,,
5/13/2020,14:10,GBP,L,NIESR GDP Estimate,-11.80%,,-2.00%,
5/13/2020,15:30,USD,L,Crude Oil Inventories,-0.7M,4.1M,4.6M,
5/13/2020,18:05,USD,L,30-y Bond Auction,1.34|2.3,,1.33|2.4,
5/13/2020,21:10,NZD,H,RBNZ Gov Orr Speaks,,,,
5/13/2020,23:45,NZD,L,Visitor Arrivals m/m,-40.90%,,-10.50%,
5/14/2020,0:01,GBP,L,RICS House Price Balance,-21%,-25%,9%,
5/14/2020,0:01,NZD,L,BusinessNZ Manufacturing Index,38,,53.7,
5/14/2020,0:50,JPY,L,M2 Money Stock y/y,3.70%,3.40%,3.30%,
